company_name,category_name,status_name,country,state_code,founding_date,funding_type,funded_at,funding_amount
bare-fruit,hospitality,operating,USA,CA,2004-01-01,private-equity,2013-07-23,9250000
regional-diagnostic-laboratories,medical,operating,USA,TN,2012-01-01,venture,2012-04-24,4537001
network-hardware-resale,public_relations,operating,USA,CA,1986-01-01,series-a,2012-08-08,1950000
agile-diagnosis,medical,operating,USA,CA,2011-01-01,series-a,2012-06-14,2000000
quick-technologies,ecommerce,operating,USA,MA,2011-01-01,other,2012-05-23,1600000
kickanotch-mobile,mobile,operating,USA,KS,2010-10-10,angel,2011-07-07,500000
internet-pawn,finance,closed,USA,CO,2009-01-01,series-a,2010-05-05,1500000
screamingsports,network_hosting,operating,USA,GA,,series-a,2007-07-01,1250000
rivertop-renewables,cleantech,operating,USA,MT,,venture,2011-11-03,1500000
breker-verification-systems,software,operating,USA,CA,2003-01-01,series-a,2012-07-12,5000000
navini-networks,public_relations,acquired,USA,TX,2000-01-01,series-c+,2005-08-10,13420000
above-all-software,semiconductor,operating,USA,CA,2002-01-01,venture,2005-06-01,2100000
clean-runner,cleantech,operating,USA,NH,,venture,2012-04-05,19600000
defywire,mobile,closed,USA,VA,2003-01-01,series-b,2005-04-26,3600000
theravasc,biotech,operating,USA,OH,,series-a,2010-09-27,1800000
poolami,mobile,operating,USA,NY,,angel,2012-08-01,25000
greencloud-technologies,enterprise,operating,USA,SC,2011-01-01,series-b,2012-06-06,2700000
n-of-one-therapeutics,biotech,operating,USA,MA,2008-01-01,other,2012-04-30,748955
provade,enterprise,acquired,USA,CA,2004-01-01,series-c+,2010-08-11,2680000
feedjit,web,operating,USA,WA,2007-07-01,angel,2008-01-05,450000
point-io,enterprise,operating,USA,PA,,series-a,2013-06-05,1500000
one-medical-group,medical,operating,USA,CA,2007-01-01,series-b,2007-01-01,3500000
scivantage,finance,operating,USA,NJ,2000-01-01,series-c+,2006-10-26,6700000
tendril,software,operating,USA,CO,2004-01-01,series-c+,2010-10-19,23000000
formatta,software,operating,USA,VA,,venture,2009-02-18,3000000
counsyl,biotech,operating,USA,CA,2008-01-01,series-a,2011-11-01,7500000
eyeview,advertising,operating,USA,NY,2007-11-01,venture,2011-05-01,2500000
atreca,biotech,operating,USA,CA,,other,2013-08-29,700000
nuiku,software,operating,USA,WA,,series-a,2013-09-17,1600000
avansci-bio,analytics,operating,USA,UT,2011-01-01,angel,2013-03-13,800000
nantero,nanotech,operating,USA,MA,2000-01-01,series-a,2001-10-01,6000000
medefile-international,health,operating,USA,FL,,venture,2012-05-17,300000
infinia,cleantech,operating,USA,UT,1985-01-01,series-a,2007-06-01,9500000
opengov,enterprise,operating,USA,CA,2012-01-01,venture,2013-07-03,4000000
markitx,ecommerce,operating,USA,IL,2012-04-01,series-a,2013-07-12,2150000
kno,software,operating,USA,CA,2009-05-01,series-b,2010-08-19,26797600
leapset,enterprise,operating,USA,CA,2011-01-01,series-a,2012-07-30,6000000
brightqube,ecommerce,operating,USA,CA,2006-10-01,angel,2007-05-01,200000
bountysource,web,operating,USA,CA,2012-08-22,angel,2013-07-17,1100000
klickthru,advertising,operating,USA,CA,2010-01-01,series-a,2011-01-01,500000
shopkeep-com,enterprise,operating,USA,NY,2008-10-01,series-a,2012-01-17,2200000
edcaliber,education,operating,USA,OR,,angel,2013-08-29,500000
remark-media,public_relations,operating,USA,GA,2007-01-01,private-equity,2012-03-09,4251497
cloudcover,security,operating,USA,MN,,venture,2013-09-12,3140000
hepatochem,biotech,operating,USA,MA,,venture,2011-10-14,100000
urgentrx,health,operating,USA,CO,2010-01-01,series-b,2012-06-30,3000000
blade-games-world,games_video,operating,USA,WA,2004-02-01,other,2009-11-20,500000
on-deck,finance,operating,USA,VA,2007-01-01,other,2013-09-16,130000000
netcordia,network_hosting,operating,USA,MD,2000-01-01,series-b,2006-07-31,10000000
grockit,social,acquired,USA,CA,2006-12-01,venture,2012-12-19,20000000
hemosonics,medical,operating,USA,VA,,angel,2013-06-11,1285997
bioinspire-technologies,biotech,operating,USA,CA,2009-01-01,series-a,2011-10-05,3124082
surgiquest,medical,operating,USA,CT,2006-05-01,series-c+,2012-12-05,7500000
nway,games_video,operating,USA,CA,2011-01-01,series-a,2012-10-01,4000000
lumenergi,cleantech,operating,USA,CA,2008-01-01,series-a,2008-02-14,7500000
covestor,finance,operating,USA,MA,2005-01-01,angel,2007-06-01,1000000
mu-sigma,analytics,operating,USA,IL,2004-01-01,series-c+,2011-06-06,25000000
rezzcard,other,operating,USA,NJ,2010-01-01,angel,2012-05-01,250000
cdc-software-corporation,enterprise,ipo,USA,GA,2002-01-01,venture,2010-04-27,30000000
microphage,biotech,operating,USA,CO,,series-c+,2010-09-30,3113715
gamechanger-media,software,operating,USA,NY,2009-01-01,venture,2010-04-23,588130
avant-healthcare-professionals,biotech,operating,USA,FL,2003-01-01,other,2013-07-30,125000
tactile-systems-technology,medical,operating,USA,MN,,series-b,2012-10-05,10400000
producteev,software,acquired,USA,NY,2008-07-08,angel,2009-07-19,180000
newcomlink,finance,operating,USA,TX,2008-01-01,series-b,2011-07-18,10000000
myminilife,games_video,acquired,USA,CA,2007-01-01,angel,2007-11-15,380000
llesiant,enterprise,operating,USA,TX,,series-a,2009-03-11,4340000
chattertrap,web,operating,USA,CA,2010-01-01,other,2013-06-04,1037793
stitcher,mobile,operating,USA,CA,2008-01-01,series-c+,2011-09-21,10000000
prelert,software,operating,USA,MA,2009-01-01,series-a,2010-09-08,3750000
stonewedge,software,operating,USA,MA,,series-b,2011-03-09,1000000
haiku-deck,mobile,operating,USA,WA,2010-04-01,angel,2012-07-01,300000
front-desk-hq,mobile,operating,USA,WA,2012-11-30,series-a,2013-09-06,3200000
social-finance,finance,operating,USA,CA,2011-04-01,other,2013-09-20,50000000
collegemapper,education,operating,USA,WA,2011-01-01,angel,2012-11-16,100000
copan-systems,network_hosting,acquired,USA,CO,2002-01-01,series-c+,2007-09-17,32400000
buzzfeed,news,operating,USA,NY,2008-01-01,series-a,2008-07-09,3500000
awesometouch,software,acquired,USA,KY,2010-07-26,other,2010-10-15,30000
robotgalaxy,games_video,operating,USA,NY,2006-01-01,series-b,2008-09-16,5000000
glycos-biotechnologies,biotech,operating,USA,TX,2007-01-01,venture,2009-09-29,675296
carbon-salon,software,operating,USA,WA,2009-01-01,other,2011-11-14,180000
